State,District,Zone,Confirmed,Active,Recovered,Deceased
Punjab,Hoshiarpur,Orange,30674,23,29673,978
Punjab,Jalandhar,Red,63162,61,61611,1490
Punjab,Kapurthala,Orange,17771,13,17205,553
Punjab,Ludhiana,Red,87401,99,85207,2095
Punjab,Mansa,Orange,15575,1,15263,311
Punjab,Moga,Orange,8628,16,8379,233
Punjab,Pathankot,Orange,18607,22,18169,416
Punjab,Patiala,Red,48752,34,47377,1341
Punjab,Rupnagar,Green,12880,9,12454,417
Punjab,S.A.S. Nagar,Orange,68505,46,67402,1057
Punjab,Sangrur,Orange,15693,9,14816,868
Punjab,Shahid Bhagat Singh Nagar,Orange,11429,3,11052,374
Punjab,Sri Muktsar Sahib,Orange,18730,8,18199,523
Punjab,Tarn Taran,Orange,7986,12,7599,375
Rajasthan,Ajmer,Red,37715,14,37291,410
Rajasthan,Alwar,Orange,59652,10,59335,307
Rajasthan,BSF Camp,,85,0,85,0
Rajasthan,Banswara,Red,10005,3,9898,104
Rajasthan,Baran,Green,11993,1,11931,61
Rajasthan,Barmer,Orange,15550,4,15361,185
Rajasthan,Bharatpur,Red,19590,1,19329,260
Rajasthan,Bhilwara,Orange,29773,0,29617,156
Rajasthan,Bikaner,Orange,40311,7,39759,545
Rajasthan,Bundi,Green,7967,0,7919,48
Rajasthan,Chittorgarh,Orange,19809,0,19670,139
Rajasthan,Churu,Orange,16719,0,16612,107
Rajasthan,Dausa,Orange,13351,2,13287,62
Rajasthan,Dholpur,Orange,11006,1,10957,48
Rajasthan,Dungarpur,Orange,18407,0,18276,131
Rajasthan,Evacuees,,61,0,61,0
Rajasthan,Ganganagar,Green,19336,0,19186,150
Rajasthan,Hanumangarh,Orange,16050,4,15935,111
Rajasthan,Italians,,2,0,2,0
Rajasthan,Jaipur,Red,187598,60,185568,1970
Rajasthan,Jaisalmer,Orange,13639,3,13570,66
Rajasthan,Jalore,Orange,10065,4,9989,72
Rajasthan,Jhalawar,Red,13599,1,13411,187
Rajasthan,Jhunjhunu,Orange,14802,0,14644,158
Rajasthan,Jodhpur,Red,112374,0,111271,1103
Rajasthan,Karauli,Orange,7156,0,7086,70
Rajasthan,Kota,Red,57051,1,56601,449
Rajasthan,Nagaur,Red,17727,7,17543,177
Rajasthan,Other State,,189,0,150,39
Rajasthan,Pali,Orange,27315,11,27017,287
Rajasthan,Pratapgarh,Green,7143,5,7075,63
Rajasthan,Rajsamand,Orange,17041,2,16870,169
Rajasthan,Sawai Madhopur,Orange,10602,4,10537,61
Rajasthan,Sikar,Orange,30605,6,30264,335
Rajasthan,Sirohi,Orange,13729,0,13650,79
Rajasthan,Tonk,Orange,9495,1,9402,92
Rajasthan,Udaipur,Orange,56358,43,55562,753
Sikkim,East District,Green,0,0,0,0
Sikkim,East Sikkim,,15974,10909,4917,148
Sikkim,North District,Green,0,0,0,0
Sikkim,North Sikkim,,781,708,72,1
Sikkim,South District,Green,0,0,0,0
Sikkim,South Sikkim,,6178,5738,438,2
Sikkim,Unknown,,269,-19351,19431,189
Sikkim,West District,Green,0,0,0,0
Sikkim,West Sikkim,,4973,4817,137,19
State Unassigned,Unassigned,,0,0,0,0
Tamil Nadu,Airport Quarantine,,2098,8,2088,2
Tamil Nadu,Ariyalur,Orange,16037,237,15560,240
Tamil Nadu,Chengalpattu,Red,163274,1152,159709,2413
Tamil Nadu,Chennai,Red,540300,2048,529907,8345
Tamil Nadu,Coimbatore,Orange,231863,2259,227403,2201
Tamil Nadu,Cuddalore,Orange,61220,777,59622,821
Tamil Nadu,Dharmapuri,Orange,26415,316,25862,237
Tamil Nadu,Dindigul,Orange,32322,157,31538,627
Tamil Nadu,Erode,Green,95559,1710,93208,641
Tamil Nadu,Kallakurichi,Orange,29521,468,28854,199
Tamil Nadu,Kancheepuram,Red,72144,448,70483,1213
Tamil Nadu,Kanyakumari,Orange,60451,339,59090,1022
Tamil Nadu,Karur,Orange,22836,188,22297,351
Tamil Nadu,Krishnagiri,Orange,41638,309,41004,325
Tamil Nadu,Madurai,Red,73729,228,72354,1147
Tamil Nadu,Mayiladuthurai,,21325,259,20795,271
Tamil Nadu,Nagapattinam,Orange,19075,427,18353,295
Tamil Nadu,Namakkal,Red,47771,574,46739,458
Tamil Nadu,Nilgiris,Orange,31048,493,30369,186
Tamil Nadu,Other State,,0,0,0,0
Tamil Nadu,Perambalur,Orange,11579,109,11245,225
Tamil Nadu,Pudukkottai,Orange,28533,356,27805,372
Tamil Nadu,Railway Quarantine,,428,0,428,0
Tamil Nadu,Ramanathapuram,Orange,20110,94,19665,351
Tamil Nadu,Ranipet,Red,42169,216,41208,745
Tamil Nadu,Salem,Orange,94328,843,91888,1597
Tamil Nadu,Sivaganga,Orange,19022,229,18594,199
Tamil Nadu,Tenkasi,Orange,26928,112,26332,484
Tamil Nadu,Thanjavur,Red,68972,995,67113,864
Tamil Nadu,Theni,Orange,43038,120,42404,514
Tamil Nadu,Thiruvallur,Red,114461,941,111754,1766
Tamil Nadu,Thiruvarur,Red,38327,432,37519,376
Tamil Nadu,Thoothukkudi,Orange,55274,196,54680,398
Tamil Nadu,Tiruchirappalli,Orange,73209,749,71481,979
Tamil Nadu,Tirunelveli,Orange,48151,252,47469,430
Tamil Nadu,Tirupathur,Orange,28410,178,27628,604
Tamil Nadu,Tiruppur,Red,88754,857,87021,876
Tamil Nadu,Tiruvannamalai,Orange,52586,503,51442,641
Tamil Nadu,Vellore,Red,48356,308,46951,1097
Tamil Nadu,Viluppuram,Orange,44205,358,43506,341
Tamil Nadu,Virudhunagar,Red,45628,137,44949,542
Telangana,Adilabad,Orange,7100,7085,15,0
Telangana,Bhadradri Kothagudem,Green,18332,18328,4,0
Telangana,Foreign Evacuees,,33,33,0,0
Telangana,Hyderabad,Red,136891,136563,305,23
Telangana,Jagtial,Orange,16971,16969,2,0
Telangana,Jangaon,Orange,7524,7523,1,0
Telangana,Jayashankar Bhupalapally,Orange,6760,6760,0,0
Telangana,Jogulamba Gadwal,Orange,7182,7156,25,1
Telangana,Kamareddy,Orange,11518,11510,8,0
Telangana,Karimnagar,Orange,29303,29287,16,0
Telangana,Khammam,Orange,26952,26949,3,0
Telangana,Komaram Bheem,Orange,4463,4461,2,0
Telangana,Mahabubabad,Green,12856,12855,1,0
Telangana,Mahabubnagar,Orange,16226,16218,8,0
Telangana,Mancherial,Orange,15914,15913,0,1
Telangana,Medak,Orange,8392,8388,4,0
Telangana,Medchal Malkajgiri,Red,44954,44944,9,1
Telangana,Mulugu,Green,6574,6572,2,0
Telangana,Nagarkurnool,Green,12230,12228,2,0
Telangana,Nalgonda,Orange,28636,28624,12,0
Telangana,Narayanpet,Orange,3272,3271,0,1
Telangana,Nirmal,Orange,7230,7217,13,0
Telangana,Nizamabad,Orange,20776,20746,30,0
Telangana,Other State,,250,250,0,0
Telangana,Peddapalli,Green,15417,15416,1,0
Telangana,Rajanna Sircilla,Orange,11926,11924,2,0
Telangana,Ranga Reddy,Red,48344,48325,17,2
Telangana,Sangareddy,Orange,19035,19029,6,0
Telangana,Siddipet,Green,19168,19167,1,0
Telangana,Suryapet,Red,17267,17243,24,0
Telangana,Unknown,,1055,-641062,638314,3803
Telangana,Vikarabad,Red,10933,10917,15,1
Telangana,Wanaparthy,Green,9674,9674,0,0
Telangana,Warangal Rural,Green,10500,10500,0,0
Telangana,Warangal Urban,Red,26044,26021,23,0
Telangana,Yadadri Bhuvanagiri,Green,11133,11133,0,0
Tripura,Dhalai,Red,6866,108,6724,34
Tripura,Gomati,Orange,7796,256,7469,71
Tripura,Khowai,Green,4466,76,4338,52
Tripura,North Tripura,Orange,6912,189,6691,32
Tripura,Sipahijala,Green,6118,84,5960,74
Tripura,South Tripura,Green,9759,280,9434,45
Tripura,Unokoti,Green,8209,303,7848,58
Tripura,West Tripura,Green,30531,843,29284,404
Uttar Pradesh,Agra,Red,25734,8,25269,457
Uttar Pradesh,Aligarh,Red,21276,0,21168,108
Uttar Pradesh,Ambedkar Nagar,Green,5028,5,4873,150
Uttar Pradesh,Amethi,Orange,9958,0,9815,143
Uttar Pradesh,Amroha,Red,16610,2,16405,203
Uttar Pradesh,Auraiya,Orange,10079,1,9875,203
Uttar Pradesh,Ayodhya,Orange,16912,2,16620,290
Uttar Pradesh,Azamgarh,Orange,17886,4,17654,228
Uttar Pradesh,Baghpat,Orange,9128,2,8985,141
Uttar Pradesh,Bahraich,Orange,11546,2,11366,178
Uttar Pradesh,Ballia,Green,21606,1,21372,233
Uttar Pradesh,Balrampur,Orange,7487,3,7346,138
Uttar Pradesh,Banda,Orange,10985,1,10831,153
Uttar Pradesh,Barabanki,Green,19832,8,19599,225
Uttar Pradesh,Bareilly,Red,43970,3,43591,376
Uttar Pradesh,Basti,Orange,11714,1,11383,330
Uttar Pradesh,Bhadohi,Orange,7717,2,7552,163
Uttar Pradesh,Bijnor,Red,14788,1,14679,108
Uttar Pradesh,Budaun,Orange,14924,1,14825,98
Uttar Pradesh,Bulandshahr,Red,20201,2,19958,241
Uttar Pradesh,Chandauli,Green,16198,3,15839,356
Uttar Pradesh,Chitrakoot,Green,7106,0,7027,79
Uttar Pradesh,Deoria,Orange,20212,6,19988,218
Uttar Pradesh,Etah,Orange,9963,0,9865,98
Uttar Pradesh,Etawah,Orange,13928,3,13632,293
Uttar Pradesh,Farrukhabad,Green,10340,2,10144,194
Uttar Pradesh,Fatehpur,Orange,6800,3,6658,139
Uttar Pradesh,Firozabad,Red,8715,0,8580,135
Uttar Pradesh,Gautam Buddha Nagar,Red,63228,16,62746,466
Uttar Pradesh,Ghaziabad,Orange,55622,11,55150,461
Uttar Pradesh,Ghazipur,Orange,21636,10,21345,281
Uttar Pradesh,Gonda,Orange,12281,0,12020,261
Uttar Pradesh,Gorakhpur,Orange,59377,14,58515,848
Uttar Pradesh,Hamirpur,Green,5229,1,5127,101
Uttar Pradesh,Hapur,Orange,12628,4,12407,217
Uttar Pradesh,Hardoi,Orange,13754,3,13402,349
Uttar Pradesh,Hathras,Orange,2917,0,2874,43
Uttar Pradesh,Jalaun,Orange,11661,5,11454,202
Uttar Pradesh,Jaunpur,Orange,22568,9,22325,234
Uttar Pradesh,Jhansi,Orange,36539,7,35869,663
Uttar Pradesh,Kannauj,Orange,9220,5,9101,114
Uttar Pradesh,Kanpur Dehat,Green,6189,5,6074,110
Uttar Pradesh,Kanpur Nagar,Red,82893,15,80974,1904
Uttar Pradesh,Kasganj,Orange,4247,0,4194,53
Uttar Pradesh,Kaushambi,Orange,4416,2,4346,68
Uttar Pradesh,Kushinagar,Green,15610,37,15345,228
Uttar Pradesh,Lakhimpur Kheri,Green,24405,10,24103,292
Uttar Pradesh,Lalitpur,Green,12734,1,12605,128
Uttar Pradesh,Lucknow,Red,238644,54,235939,2651
Uttar Pradesh,Maharajganj,Green,12394,14,12242,138
Uttar Pradesh,Mahoba,Green,4268,1,4181,86
Uttar Pradesh,Mainpuri,Orange,10017,36,9799,182
Uttar Pradesh,Mathura,Red,20273,40,19865,368
Uttar Pradesh,Mau,Orange,8323,1,8242,80
Uttar Pradesh,Meerut,Red,69420,7,68516,897
Uttar Pradesh,Mirzapur,Orange,11082,2,10964,116
Uttar Pradesh,Moradabad,Red,39094,5,38740,349
Uttar Pradesh,Muzaffarnagar,Red,30999,6,30724,269
Uttar Pradesh,Pilibhit,Orange,11027,0,10834,193
Uttar Pradesh,Pratapgarh,Orange,16023,0,15862,161
Uttar Pradesh,Prayagraj,Orange,78607,34,77499,1074
Uttar Pradesh,Rae Bareli,Red,17074,31,16723,320
Uttar Pradesh,Rampur,Red,11817,6,11665,146
Uttar Pradesh,Saharanpur,Red,32749,2,32327,420
Uttar Pradesh,Sambhal,Orange,9436,2,9329,105
Uttar Pradesh,Sant Kabir Nagar,Red,8157,1,8058,98
Uttar Pradesh,Shahjahanpur,Green,20352,4,19905,443
Uttar Pradesh,Shamli,Orange,12974,0,12929,45
Uttar Pradesh,Shrawasti,Orange,4385,2,4348,35
Uttar Pradesh,Siddharthnagar,Green,9364,5,9259,100
Uttar Pradesh,Sitapur,Orange,12392,1,12206,185
Uttar Pradesh,Sonbhadra,Green,16799,0,16548,251
Uttar Pradesh,Sultanpur,Orange,14907,6,14763,138
Uttar Pradesh,Unnao,Orange,14996,3,14739,254
Uttar Pradesh,Varanasi,Red,85466,21,84474,971
Uttarakhand,Almora,Orange,12139,613,11332,194
Uttarakhand,Bageshwar,Green,5709,41,5608,60
Uttarakhand,Chamoli,Green,12144,255,11827,62
Uttarakhand,Champawat,Green,7547,200,7294,53
Uttarakhand,Dehradun,Orange,111951,747,107692,3512
Uttarakhand,Haridwar,Green,51397,1373,49020,1004
Uttarakhand,Nainital,Orange,39078,135,38000,943
Uttarakhand,Pauri Garhwal,Orange,17541,711,16517,313
Uttarakhand,Pithoragarh,Green,10162,162,9820,180
Uttarakhand,Rudraprayag,Green,8740,167,8467,106
Uttarakhand,Tehri Garhwal,Green,15818,895,14816,107
Uttarakhand,Udham Singh Nagar,Orange,37808,817,36230,761
Uttarakhand,Uttarkashi,Orange,12468,359,12035,74
West Bengal,Alipurduar,Green,15027,243,14685,99
West Bengal,Bankura,Green,34724,366,34097,261
West Bengal,Birbhum,Orange,40424,130,40009,285
West Bengal,Cooch Behar,Green,27938,536,27307,95
West Bengal,Dakshin Dinajpur,Green,16976,103,16705,168
West Bengal,Darjeeling,Orange,54050,998,52550,502
West Bengal,Hooghly,Orange,82138,565,80649,924
West Bengal,Howrah,Red,94880,522,92872,1486
West Bengal,Jalpaiguri,Orange,40269,626,39101,542
West Bengal,Jhargram,Green,11429,308,11094,27
West Bengal,Kalimpong,Orange,6513,274,6195,44
West Bengal,Kolkata,Red,311183,835,305367,4981
West Bengal,Malda,Orange,32700,67,32448,185
West Bengal,Murshidabad,Orange,33633,58,33253,322
West Bengal,Nadia,Orange,69668,648,68302,718
West Bengal,North 24 Parganas,Red,320162,1213,314358,4591
West Bengal,Other State,,66,0,63,3
West Bengal,Paschim Bardhaman,Orange,56402,203,55852,347
West Bengal,Paschim Medinipur,Orange,51094,595,50006,493
West Bengal,Purba Bardhaman,Orange,40241,342,39715,184
West Bengal,Purba Medinipur,Red,60872,692,59802,378
West Bengal,Purulia,Green,19205,55,19038,112
West Bengal,South 24 Parganas,Orange,96592,658,94656,1278
West Bengal,Uttar Dinajpur,Green,19513,126,19154,233
